epoch,train_loss,train_acc,valid_loss,valid_acc
0,-0.0014927584205153722,0.001171875,-0.0003682646551169455,0.0
5,-0.0017067969864001497,0.0015625,-0.0009476879611611366,0.0015625
10,-0.0018878766335546971,0.0013671875,-0.001462693908251822,0.0
15,-0.0017946792708244176,0.0022372159175574778,-0.0010885806987062097,0.00078125
20,-0.00306973354308866,0.003515625,-0.0013818796956911682,0.001628707628697157
25,-0.004327702859882265,0.0052734375,-0.0019520858651958406,0.0015625
30,-0.007539150095544756,0.008096590917557479,-0.0015744721051305533,0.001628707628697157
35,-0.009642966568935662,0.010316051170229911,-0.0019322979962453247,0.001628707628697157
40,-0.011795831320341676,0.0123046875,-0.0025014969403855504,0.00234375
45,-0.012161203450523317,0.012375710252672433,-0.0026161581015912818,0.003125
50,-0.014544039824977517,0.015518465917557478,-0.0011786443479650187,0.0015625
